asset,strategy,sharpe_per_trade,pass_rate,kill_rate,total_pnl
MES,momentum,0.084137,0.000000,0.000000,12898.250000
MES,fade,-0.107661,0.000000,0.000000,-3637.375000
MES,trend,0.080790,0.000000,0.000000,13089.250000
MES,orb10r_fut,-0.029797,0.041667,0.000000,-2463.500000
MES,noise_mom_fut,0.019456,0.000000,0.000000,1188.290949
MES,gap_fade_fut,-0.037080,0.000000,0.000000,-824.125000
MES,vwap_rev_fut,-0.062023,0.138889,0.833333,-3675.641724
MES,vol_breakout,-0.001721,0.208333,0.791667,-113.391941
MES,mom_pullback,-0.053707,0.277778,0.666667,-2851.750000
MES,range_scalp,-0.025269,0.277778,0.680556,-2989.464219
MES,donchian,-0.023006,0.000000,0.013889,-3216.250000
MES,ma_cross,-0.092578,0.000000,0.000000,-26108.700000
MES,mom_swing,0.059411,0.000000,0.000000,33148.437500
MES,regime_switch,0.237193,0.194444,0.500000,345.290179
MES,vol_regime,0.429197,0.000000,0.000000,2226.464286
MES,trend_regime,-0.115735,0.208333,0.666667,-247.500000
MES,tsmom,0.018349,0.236111,0.680556,84.464286
MES,seasonality,0.003948,0.000000,0.000000,57.678571
ZN,momentum,-0.063068,0.000000,0.000000,-10325.125000
ZN,fade,-0.448555,0.000000,0.000000,-17372.000000
ZN,trend,-0.029252,0.000000,0.000000,-5196.625000
ZN,orb10r_fut,-0.223715,0.013889,0.000000,-18130.125000
ZN,noise_mom_fut,0.020721,0.000000,0.000000,1179.531070
ZN,gap_fade_fut,-0.032776,0.000000,0.000000,-3820.000000
ZN,vwap_rev_fut,-0.319728,0.194444,0.791667,-49789.660414
ZN,vol_breakout,-0.382586,0.083333,0.819444,-29808.927770
ZN,mom_pullback,-0.783222,0.027778,0.652778,-43343.250000
ZN,range_scalp,-0.346257,0.000000,0.013889,-3053.063753
ZN,donchian,-0.094625,0.000000,0.000000,-20115.625000
ZN,ma_cross,-0.178189,0.000000,0.000000,-66375.000000
ZN,mom_swing,-0.392747,0.000000,0.000000,-67116.812500
ZN,regime_switch,0.104384,0.166667,0.708333,717.678571
ZN,vol_regime,0.000000,0.000000,0.000000,0.000000
ZN,trend_regime,-0.190919,0.138889,0.805556,-1121.607143
ZN,tsmom,-0.001149,0.055556,0.305556,-21.071429
ZN,seasonality,0.043633,0.000000,0.000000,651.964286
